"employee_id";"first_name";"middle_initial";"last_name";"birth_date";"gender";"city_id";"shop_id";"hire_date"
327;Ivan;I;Ivanov;"2001-02-04";M;6;1;"2026-07-07"
320;Carla;F;Moore;"1978-03-09";F;3;22;"2019-08-16"
319;Cody;T;Gonzalez;"1968-09-02";M;10;27;"2019-03-17"
318;Alice;E;Spears;"1988-03-18";F;21;53;"2019-03-24"
317;Robert;Z;Wood;"1983-11-23";F;15;67;"2016-11-23"
316;Jeffrey;Z;Franklin;"1980-05-24";F;17;57;"2023-10-11"
315;Henry;N;Williams;"1990-09-24";M;10;47;"2023-07-08"
314;Brandon;V;Ramirez;"1975-11-08";F;3;14;"2014-03-19"
313;Ann;P;Perez;"1969-06-26";F;10;56;"2017-12-03"
312;Gerald;K;Mcdowell;"1968-04-07";M;7;67;"2018-04-08"
311;Tina;Y;Hammond;"1980-07-02";F;10;8;"2020-03-21"
310;Paul;Z;Hayes;"1994-01-25";M;13;49;"2014-09-12"
309;Rose;O;Stephens;"1974-04-11";M;6;47;"2017-09-02"
308;Courtney;S;Williams;"1989-11-04";M;14;26;"2018-01-17"
307;Zachary;D;Liu;"1986-08-02";M;4;52;"2015-02-16"
306;Katrina;E;Walker;"1991-05-18";F;8;25;"2020-12-11"
305;Julie;I;Johnson;"2000-01-18";F;18;23;"2015-05-22"
304;Connie;X;Waller;"1995-11-09";F;19;2;"2017-11-15"
303;Lori;P;Young;"1984-11-08";F;19;5;"2023-02-13"
302;Jon;I;Cardenas;"1991-09-06";M;13;64;"2019-09-19"
301;Jennifer;U;Ramirez;"1966-02-02";F;2;63;"2020-01-04"
300;Julie;Y;Bailey;"1995-04-25";F;3;68;"2019-06-01"
299;Anthony;X;Diaz;"1991-08-16";M;18;16;"2014-11-20"
298;Edward;U;Williams;"1998-07-18";M;12;12;"2013-02-18"
297;Stephanie;I;Cox;"2002-11-12";F;2;55;"2014-03-13"
296;Amy;D;Mcdonald;"1980-06-17";F;2;26;"2017-02-03"
295;Timothy;X;Reid;"2004-01-05";M;9;72;"2018-08-06"
294;Tara;C;Brown;"1988-02-17";F;3;33;"2023-04-30"
293;Jeremy;D;Stephenson;"1975-09-01";F;1;66;"2014-11-16"
292;Justin;P;Howard;"1973-05-04";F;11;13;"2023-08-31"
291;Jennifer;H;White;"1979-06-29";M;1;56;"2013-01-18"
290;Ray;J;Allen;"2005-01-29";F;20;47;"2022-04-18"
289;Anna;U;Smith;"1981-12-20";M;2;68;"2016-10-06"
288;Alyssa;L;Wall;"1994-12-10";F;2;64;"2016-05-23"
287;Elizabeth;H;Bailey;"1988-01-02";M;12;28;"2018-10-27"
286;James;F;Hampton;"1984-02-27";F;4;16;"2022-06-11"
285;Alyssa;Q;Hendricks;"1975-07-12";M;9;26;"2014-07-08"
284;Madison;L;Ramirez;"1990-06-18";F;18;45;"2013-01-22"
283;Paige;U;Blair;"2000-04-13";F;12;32;"2019-06-07"
282;Daniel;J;Garza;"1970-08-14";M;20;11;"2013-06-24"
281;Tammy;H;Deleon;"2003-11-05";F;6;33;"2021-02-11"
280;Gregory;A;Ballard;"1976-09-05";F;11;31;"2022-09-02"
279;Cynthia;O;Kim;"1967-06-13";F;8;63;"2018-09-28"
278;William;N;Carney;"1964-12-25";M;8;53;"2016-08-22"
277;Justin;H;Leach;"1987-07-13";M;4;41;"2021-05-21"
276;Dwayne;S;Lopez;"1997-09-25";M;1;43;"2016-02-03"
275;James;G;Foster;"1995-10-30";F;7;39;"2014-02-14"
274;Robert;E;Dawson;"2003-01-20";F;19;22;"2013-02-27"
273;Michelle;W;Johnson;"1984-11-17";F;9;48;"2020-09-10"
272;Caitlin;P;Anderson;"1978-11-18";M;16;37;"2013-02-13"
271;Helen;I;Wells;"1982-06-03";M;21;47;"2020-04-18"
270;Leslie;F;Aguilar;"1994-12-16";M;19;47;"2021-02-13"
269;Lindsey;D;Cooper;"1965-12-30";F;1;72;"2018-08-10"
268;Kenneth;Y;Weaver;"1965-02-12";M;20;24;"2022-03-01"
267;Ryan;Y;Ramirez;"1968-07-12";M;19;13;"2017-08-02"
266;Russell;U;Haley;"1989-10-12";F;14;64;"2019-01-10"
265;David;J;Shaw;"1989-03-09";M;7;70;"2015-05-31"
264;Mary;U;Mills;"1996-06-08";F;2;17;"2014-04-07"
263;Shawn;P;Rodriguez;"2001-07-09";F;3;62;"2015-11-11"
262;Thomas;S;Molina;"1996-09-06";M;15;6;"2014-06-19"
261;Briana;X;Patel;"1984-02-29";F;13;24;"2013-02-10"
260;Sarah;F;Hartman;"1976-12-03";F;11;18;"2014-08-18"
259;Robert;V;Rush;"1968-07-26";M;17;12;"2018-08-03"
258;Shawn;X;Adams;"1987-02-21";M;18;72;"2017-09-15"
257;Jessica;X;Hernandez;"1998-12-14";F;1;56;"2020-08-30"
256;Lance;V;Sanders;"1989-03-22";F;17;17;"2019-04-08"
255;Robert;L;Curtis;"1989-12-29";F;7;67;"2023-01-27"
254;Jennifer;U;Johnson;"1968-10-03";F;3;29;"2020-07-16"
253;David;M;Friedman;"1966-04-16";F;10;27;"2019-05-18"
252;James;O;Bradley;"1987-06-02";F;13;61;"2023-09-21"
251;Carolyn;O;Bullock;"1982-06-17";M;1;5;"2021-10-19"
250;Leslie;Y;Cruz;"1984-04-25";M;3;4;"2022-08-08"
249;Anthony;O;Soto;"1994-03-12";M;10;35;"2013-12-31"
248;Vanessa;A;Cooper;"2001-09-02";M;4;66;"2014-09-26"
247;David;J;Anderson;"1987-01-01";M;2;64;"2013-07-01"
246;Caroline;B;Ryan;"2000-04-29";F;12;8;"2019-10-24"
245;Carol;L;Rogers;"1981-01-09";F;13;51;"2019-01-06"
244;Steven;O;Frazier;"1971-01-04";F;5;8;"2015-07-21"
243;Mark;R;Lewis;"1988-07-27";F;13;41;"2021-02-17"
242;Angela;O;Carter;"1979-11-05";F;14;63;"2017-05-28"
241;Curtis;N;Watson;"1988-07-21";F;11;62;"2018-11-21"
240;Shelley;H;Frazier;"1976-11-25";F;9;27;"2017-05-10"
239;Carrie;V;Johnson;"1968-06-01";M;3;13;"2023-01-31"
238;Elaine;X;Palmer;"1979-07-03";M;12;19;"2014-02-20"
237;Robert;N;Lopez;"2000-04-09";F;8;2;"2023-11-15"
236;Hannah;C;Kennedy;"2003-01-07";F;21;46;"2015-02-17"
235;Tom;Z;Murphy;"1974-10-12";M;19;7;"2021-07-13"
234;Michelle;Q;Perry;"1973-01-10";M;14;32;"2016-02-02"
233;Amy;A;Cook;"1998-07-31";F;1;23;"2014-11-03"
232;Pamela;B;Schmitt;"1974-09-13";M;4;62;"2019-01-23"
231;Michael;A;Ramirez;"1988-05-22";F;20;12;"2023-05-25"
230;Amanda;Y;Serrano;"1965-12-07";F;19;33;"2018-07-05"
229;Devin;W;Gonzales;"1985-12-17";F;19;57;"2023-10-22"
228;Kimberly;Y;Walton;"1968-08-10";M;16;51;"2018-02-19"
227;Brian;E;Lee;"1999-03-17";F;4;11;"2022-11-22"
226;Cynthia;E;Reeves;"2003-04-05";F;16;45;"2021-05-27"
225;Christopher;A;Moore;"2001-12-31";F;3;52;"2013-04-12"
224;Daniel;M;Gilbert;"1983-08-08";F;20;56;"2017-07-23"
223;Eric;K;Hill;"1978-05-23";M;5;49;"2016-06-29"
222;Stephanie;C;Ortiz;"1995-01-21";F;17;64;"2016-12-10"
221;Walter;S;Rogers;"1968-06-14";M;20;45;"2016-06-20"
220;Gina;N;Stafford;"1998-02-11";F;1;33;"2013-11-06"
219;Michael;G;Giles;"2002-07-05";F;21;66;"2022-09-24"
218;Christopher;A;Black;"2005-03-22";M;11;16;"2021-08-16"
217;Kristin;N;Evans;"2005-10-25";F;18;30;"2016-06-03"
216;William;X;Cummings;"1993-08-05";M;16;24;"2016-10-10"
215;Miranda;G;Bentley;"1994-10-03";M;8;9;"2023-07-26"
214;Kristin;K;Taylor;"1967-12-14";F;16;56;"2018-09-13"
213;Andrea;K;Merritt;"1990-07-13";M;16;17;"2015-07-02"
212;Monica;M;Miller;"1976-04-30";F;15;37;"2022-09-09"
211;Charles;O;Phillips;"1981-07-22";M;15;23;"2023-01-10"
210;Cory;L;Kelly;"1978-05-19";F;6;12;"2014-09-21"
209;Patricia;O;Sparks;"1999-09-02";M;2;33;"2022-06-02"
208;Robert;G;Johnson;"1977-06-05";F;8;38;"2018-10-25"
207;Blake;Y;Hubbard;"1980-04-06";F;16;18;"2016-10-04"
206;Benjamin;D;Werner;"1970-10-02";F;14;25;"2018-08-03"
205;Desiree;D;Oneal;"2003-05-08";M;12;19;"2021-09-15"
204;Jeffrey;K;Johnson;"1978-06-17";M;8;66;"2022-02-23"
203;Michael;S;Chapman;"2001-05-23";M;18;5;"2016-03-14"
202;Miguel;P;Greene;"1985-05-28";M;4;3;"2018-02-17"
201;Stephanie;Q;Thompson;"2003-12-24";M;3;20;"2014-10-02"
200;Johnny;C;Smith;"1977-10-07";M;17;27;"2022-07-19"
199;Kristen;N;Mendoza;"1972-07-21";M;2;63;"2023-06-01"
198;Dawn;A;Mills;"2005-01-16";F;9;53;"2023-03-05"
197;Michael;X;Anderson;"1989-08-20";M;11;40;"2021-10-11"
196;Steven;X;Blankenship;"1966-06-14";F;12;12;"2020-04-16"
195;Patrick;Z;Molina;"1983-12-27";F;13;19;"2014-08-15"
194;Andrew;Q;White;"1967-10-23";F;15;27;"2016-10-30"
193;Rachel;C;Le;"1967-11-02";M;18;22;"2014-08-16"
192;Victor;O;Cain;"1974-11-28";F;11;68;"2014-01-27"
191;Benjamin;J;Cook;"1987-05-19";M;3;67;"2019-01-24"
190;Sara;C;Crosby;"1968-11-22";F;2;62;"2022-05-15"
189;Scott;U;Roberson;"1965-01-08";F;18;1;"2015-01-08"
188;Eric;S;Shah;"2005-08-23";M;21;45;"2016-06-07"
187;Jose;V;Forbes;"2000-07-17";F;2;22;"2017-03-06"
186;Eric;C;Wall;"1969-01-23";M;9;20;"2015-07-10"
185;Jodi;Z;Hughes;"1968-04-02";M;8;57;"2017-12-05"
184;Shawna;S;Sanders;"1976-12-10";F;10;42;"2017-08-16"
183;Latasha;H;Robinson;"1986-02-19";M;17;12;"2015-01-09"
182;Mathew;M;Bonilla;"1983-05-28";F;17;21;"2016-11-15"
181;Courtney;V;Meyer;"1980-04-01";F;5;17;"2021-06-27"
180;Jeffrey;I;Brown;"1997-11-22";F;11;63;"2013-04-15"
179;Matthew;I;Bell;"2002-04-16";M;6;49;"2022-07-25"
178;David;Q;Williams;"2005-07-10";F;20;61;"2018-01-10"
177;David;V;Davis;"1989-08-14";F;6;44;"2017-08-01"
176;Christina;E;Webb;"1974-09-23";F;13;31;"2017-03-11"
175;Christina;I;Johnson;"2004-07-22";M;19;6;"2021-10-07"
174;Eric;J;Rodriguez;"1975-07-10";M;12;49;"2023-04-24"
173;Jason;M;Savage;"1980-08-08";F;14;30;"2020-08-13"
172;Joseph;S;Vance;"1983-05-20";M;15;26;"2018-09-25"
171;Jesse;D;Noble;"1994-07-27";F;5;41;"2014-11-08"
170;Stacie;L;Smith;"1980-06-25";F;15;29;"2020-09-05"
169;Cameron;A;Robertson;"1981-11-01";F;20;31;"2015-03-21"
168;John;C;Martin;"1978-03-02";F;19;22;"2023-05-01"
167;Matthew;M;Hill;"2001-05-28";F;3;71;"2013-11-24"
166;Ashley;L;Howell;"1989-11-18";M;20;51;"2017-04-10"
165;Andrea;I;Campbell;"1985-02-28";M;18;45;"2013-11-03"
164;Richard;H;Thompson;"2003-06-27";F;17;15;"2018-05-03"
163;Kathryn;D;Chavez;"1979-09-03";F;11;3;"2017-08-06"
162;Jason;W;Franklin;"1999-11-14";M;5;35;"2020-01-28"
161;George;R;Owens;"1988-12-15";F;9;11;"2022-06-21"
160;Eric;O;Wells;"1991-08-16";M;16;35;"2019-07-29"
159;David;M;Arnold;"1987-11-02";M;6;34;"2019-09-08"
158;Jeffrey;U;Christensen;"1967-04-29";M;14;12;"2019-11-05"
157;Raymond;S;Meyer;"1983-04-21";F;11;23;"2022-10-05"
156;Michelle;D;Lopez;"1987-09-14";F;2;65;"2021-03-03"
155;Catherine;L;Fowler;"1995-09-08";M;13;4;"2023-03-11"
154;Jennifer;O;Hall;"1999-01-10";M;6;43;"2014-10-27"
153;Matthew;B;Jackson;"1967-01-07";M;3;66;"2019-02-06"
152;Michele;F;Hardy;"2003-07-23";F;8;39;"2016-10-09"
151;Kimberly;H;Lopez;"1975-06-26";F;10;34;"2023-05-09"
150;Marcus;S;Banks;"1966-07-24";F;18;41;"2019-12-07"
149;Terri;U;Green;"1997-01-19";M;3;68;"2016-07-07"
148;Anthony;P;Carr;"1985-04-10";M;12;42;"2020-12-11"
147;Stephanie;P;Brown;"1992-07-28";F;13;44;"2016-09-26"
146;Debra;H;Taylor;"1991-04-16";F;20;32;"2021-01-10"
145;Thomas;N;Ferguson;"1997-05-10";F;20;46;"2015-10-17"
144;Nicole;E;Brown;"1982-05-30";F;10;54;"2015-03-12"
143;Jeanette;C;Fowler;"2004-08-31";F;6;2;"2023-12-08"
142;Jared;R;Cline;"1979-07-27";M;11;32;"2019-10-20"
141;Mark;R;Huff;"1971-01-30";M;12;8;"2015-08-08"
140;Erin;Y;Reynolds;"1965-11-16";M;6;16;"2017-04-06"
139;Gabriela;M;Rhodes;"1986-09-12";M;17;10;"2015-01-08"
138;Edward;S;Hall;"1992-01-28";M;3;71;"2023-09-26"
137;Jerry;E;Brown;"1978-03-21";M;8;46;"2021-07-12"
136;Caleb;A;Carroll;"1970-03-10";M;9;32;"2020-10-17"
135;Kimberly;G;Ramirez;"1983-07-20";F;8;10;"2020-09-30"
134;Lawrence;Z;Graham;"1976-02-25";M;1;20;"2019-10-21"
133;Tommy;Q;Roman;"1983-09-28";F;20;61;"2021-04-14"
132;Michelle;Y;Williams;"1989-10-13";M;5;20;"2018-03-12"
131;Jason;W;Mason;"1972-09-07";M;18;68;"2015-12-25"
130;Christina;G;Munoz;"1973-02-15";M;9;43;"2022-12-07"
129;Jamie;Y;Ray;"1994-02-03";F;1;14;"2019-12-28"
128;Joseph;G;Anderson;"1995-09-15";M;18;58;"2021-05-17"
127;Joseph;D;Torres;"1993-11-07";F;20;16;"2023-10-27"
126;Samantha;X;Hernandez;"1992-03-01";F;8;56;"2021-05-20"
125;Sarah;M;Thomas;"1979-05-09";F;16;32;"2020-08-29"
124;Walter;J;Lewis;"1990-01-30";F;6;32;"2018-06-01"
123;Jacqueline;C;Jones;"1982-11-01";M;15;66;"2020-06-24"
122;Heather;J;Wright;"2003-10-17";M;13;26;"2023-01-17"
121;Maria;T;Kidd;"1971-11-04";F;21;30;"2015-03-16"
120;Brandy;T;Christensen;"1974-06-29";M;5;49;"2022-12-23"
119;Daniel;N;Lee;"1982-01-26";F;18;30;"2014-04-23"
118;Michael;U;Wilkins;"1988-05-29";M;2;72;"2020-07-09"
117;Thomas;B;Miller;"2001-02-17";M;9;24;"2016-06-14"
116;Victoria;R;Jensen;"1988-01-05";M;4;15;"2014-07-11"
115;Jesse;Y;Estes;"1988-04-18";F;2;9;"2022-03-18"
114;Roger;L;Hernandez;"1991-12-26";M;8;49;"2023-07-27"
113;Roy;E;Anderson;"1995-11-18";F;19;60;"2023-02-22"
112;William;W;Summers;"1965-06-25";F;5;49;"2022-05-19"
111;Jessica;K;Patton;"1996-10-18";F;15;60;"2015-08-19"
110;Eric;V;Simmons;"1990-10-07";F;7;38;"2021-09-18"
109;Heather;V;Singh;"1995-12-21";F;10;11;"2021-11-06"
108;John;L;Carter;"1982-10-17";M;16;11;"2013-09-25"
107;Carlos;Q;Sanchez;"1991-04-12";F;5;51;"2022-10-17"
106;Emily;Y;Edwards;"1987-09-12";M;16;29;"2022-07-13"
105;James;N;Jones;"1978-03-28";M;15;62;"2016-06-23"
104;Laura;D;Cobb;"1998-05-11";F;5;38;"2023-11-10"
103;Laura;B;Cook;"1995-08-11";M;11;3;"2016-10-29"
102;Justin;B;Glass;"1987-12-07";M;7;21;"2022-02-18"
101;Jason;T;Elliott;"1996-10-03";F;10;28;"2014-08-07"
100;Sharon;P;Morales;"1986-11-06";F;14;60;"2015-06-30"
99;Michael;L;Butler;"1999-07-25";F;17;62;"2014-10-22"
98;Stacey;S;Wright;"1988-08-31";F;7;36;"2016-05-23"
97;Linda;S;Mitchell;"2005-06-29";F;6;57;"2014-12-05"
96;Alexandra;J;Richmond;"1965-02-07";M;12;23;"2016-10-07"
95;Charles;W;Barton;"1991-05-05";M;1;14;"2021-08-22"
94;Andrea;A;Sims;"1993-08-23";F;8;65;"2023-08-31"
93;Julie;X;Underwood;"1995-03-05";M;3;43;"2021-11-11"
92;James;O;Gilbert;"1964-12-09";M;5;65;"2015-06-28"
91;Jennifer;A;Diaz;"2000-11-05";F;19;36;"2022-02-27"
90;Tracey;X;Miller;"1970-09-21";F;16;11;"2022-10-14"
89;Andrew;F;Walker;"1965-04-19";M;10;45;"2021-05-29"
88;Joshua;B;Davis;"2003-01-25";M;10;1;"2020-08-31"
87;Julia;W;Duffy;"1992-06-02";M;7;54;"2021-05-07"
86;Melissa;U;Castro;"1997-12-04";F;4;46;"2016-08-22"
85;Sabrina;P;Williams;"1986-01-11";M;11;28;"2014-08-04"
84;Seth;I;Carter;"1979-10-26";M;11;31;"2016-05-28"
83;Madison;A;Perez;"1995-12-27";M;1;16;"2018-07-26"
82;John;V;Thomas;"1978-03-12";M;14;39;"2016-11-14"
81;Tammy;A;Hardy;"1983-02-15";F;7;71;"2019-06-29"
80;Kristen;C;Rodriguez;"2004-04-20";F;12;55;"2018-07-27"
79;Jared;I;Lamb;"1995-02-19";F;9;9;"2019-02-17"
78;John;B;Kelly;"1987-06-09";M;19;72;"2021-10-15"
77;Hannah;C;Cooper;"1968-11-05";F;19;8;"2023-02-28"
76;Paul;C;White;"1988-04-05";F;17;26;"2017-03-21"
75;David;C;James;"1989-12-06";M;3;9;"2018-03-13"
74;Philip;L;Clark;"1997-05-28";F;19;21;"2019-09-17"
73;Wanda;O;Brown;"1970-12-07";F;1;38;"2020-09-29"
72;Todd;N;Gross;"1982-12-02";F;11;62;"2014-11-12"
71;Jessica;Z;Roberts;"1991-11-27";F;8;36;"2023-11-22"
70;Kenneth;N;Sullivan;"1978-09-20";F;16;11;"2014-03-09"
69;Amanda;G;Brooks;"1970-11-22";F;2;18;"2020-12-12"
68;Mary;U;Patterson;"1988-03-28";F;12;52;"2022-10-31"
67;Robert;E;Page;"1966-09-17";M;7;41;"2019-02-16"
66;Adam;F;Brooks;"1988-07-21";F;12;26;"2013-12-20"
65;Michael;Y;Gonzales;"1973-12-03";F;16;3;"2019-11-01"
64;Shane;M;Barnett;"1999-09-06";F;5;46;"2018-12-04"
63;Timothy;B;Walker;"1970-08-10";F;14;50;"2022-08-28"
62;Ruben;A;Friedman;"1981-10-26";M;7;66;"2013-03-30"
61;Kristen;Q;Parker;"1970-02-11";M;13;59;"2016-04-06"
60;Stephen;G;Ali;"1977-08-26";F;4;6;"2016-08-06"
59;Daniel;P;Oconnor;"1973-02-28";M;16;69;"2013-09-30"
58;Brenda;Z;Novak;"1976-01-05";M;12;59;"2015-09-18"
57;David;F;Ewing;"1973-07-29";M;20;11;"2015-05-04"
56;Samantha;Y;Berry;"1971-10-13";M;1;72;"2016-06-09"
55;James;G;Flores;"2003-12-15";M;15;23;"2013-07-11"
54;Andrea;A;Edwards;"1985-04-17";F;20;15;"2020-11-26"
53;Roger;J;Lewis;"1977-03-22";M;19;27;"2017-12-21"
52;Travis;L;Love;"1977-07-03";F;7;25;"2013-08-10"
51;Cheryl;H;Suarez;"1990-06-23";M;13;37;"2019-07-15"
50;Courtney;A;Reynolds;"1974-08-24";F;17;23;"2015-05-16"
49;Ronald;D;Lewis;"1977-12-04";F;17;7;"2015-05-18"
48;Brandi;F;Morris;"1967-10-23";F;16;34;"2016-10-16"
47;Donna;R;Armstrong;"1979-12-11";M;17;42;"2018-03-09"
46;Kimberly;T;Price;"1970-10-16";F;6;2;"2018-08-09"
45;Scott;M;Mooney;"1971-10-06";M;19;16;"2022-07-09"
44;Justin;P;Smith;"1995-05-17";M;14;48;"2018-02-01"
43;Olivia;A;Duran;"1998-06-29";M;21;63;"2016-08-28"
42;Willie;L;Collins;"1982-05-21";M;8;33;"2019-04-04"
41;Brian;K;Schaefer;"1973-06-25";M;3;41;"2018-07-01"
40;Daniel;N;Lee;"1965-06-17";M;16;70;"2016-12-17"
39;Anita;T;Williams;"1983-02-12";M;3;69;"2023-01-28"
38;Cynthia;B;Warren;"1987-09-11";F;10;25;"2019-01-01"
37;Adam;Z;Moyer;"1992-07-24";F;21;46;"2015-10-19"
36;Kayla;B;Powell;"1996-07-11";M;4;57;"2013-12-10"
35;Kimberly;J;Wilson;"1999-05-15";F;17;40;"2019-05-01"
34;Timothy;J;Mercer;"1966-12-14";F;3;24;"2013-10-10"
33;Donna;O;Bryant;"2005-03-06";M;19;18;"2014-06-10"
32;Carol;C;Flores;"1964-12-17";M;14;63;"2023-01-26"
31;David;C;Gill;"1990-04-20";F;3;45;"2022-02-10"
30;Bobby;F;Barton;"1969-06-24";M;6;55;"2022-10-29"
29;Jon;B;Gonzalez;"1989-04-05";F;7;14;"2017-03-29"
28;Edward;N;Smith;"2002-10-06";F;10;69;"2019-12-14"
27;Jennifer;H;Williams;"1991-11-20";F;11;23;"2018-07-06"
